"Event no.";"Title";"Venue codes";"Venue";"City";"Promoter no.";"Promoter";"Provider";"Tour title";"Event time";"FC";"Ticket layout";"Continuous event"
"451";"20:30 / 1/4 FINAL";"1";"Dvorana Stožice";"Ljubljana";"10616";"80:Odbojkarska zveza Slovenije";"80:Eventim Si d.o.o.";"1/4 FINAL";"Mon, 09/23/2019 20:30";"2";"EUROVOLLEY";"No"
"89";"PERPETUUM JAZZILE - PRESTAVLJENO IZ 13.4.2019";"155";"Športna dvorana Marof";"Novo mesto";"11267";"80:IZSTOPAJ d.o.o.";"80:Eventim Si d.o.o.";"PERPETUUM JAZZILE";"Sat, 09/21/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"6";"SIDDHARTA";"472";"Športna dvorana Šenèur";"Šenèur";"11545";"80:MARUŠKA KORELC S.P.";"80:Eventim Si d.o.o.";"SIDDHARTA";"Sat, 09/21/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"347";"Marko Hatlak Band";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Marko Hatlak Band";"Sat, 09/21/2019 20:00";"1";"Festival Ljubljana";"No"
"1";"ALL STAR NIGHT - Live";"1159";"MUSIC PARK BIVJE";"DEKANI";"10496";"80:MEDIA TEAM D.O.O.";"80:Eventim Si d.o.o.";"ALL STAR NIGHT - Live";"Sat, 09/21/2019 20:00";"1";"SVN - OK NOV";"No"
"589";"KRIZA SREDNJIH LET Špas teater";"615";"Gledališèe Koper";"Koper";"10163";"80:KD ŠPAS TEATER";"80:Eventim Si d.o.o.";"KRIZA SREDNJIH LET";"Sat, 09/21/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"450";"17:30 / 1/8 FINAL, 20:30 / 1/8 FINAL";"1";"Dvorana Stožice";"Ljubljana";"10616";"80:Odbojkarska zveza Slovenije";"80:Eventim Si d.o.o.";"1/8 FINAL";"Sat, 09/21/2019 17:30";"2";"EUROVOLLEY";"No"
"677";"SLEAFORD MODS";"20";"Kino Šiška";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"SLEAFORD MODS";"Fri, 09/20/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"589";"KRIZA SREDNJIH LET Špas teater";"109";"Dom II. slovenskega Tabora Žalec";"Žalec";"10163";"80:KD ŠPAS TEATER";"80:Eventim Si d.o.o.";"KRIZA SREDNJIH LET";"Fri, 09/20/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"659";"JON HOPKINS - DJ set";"20";"Kino Šiška";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"JON HOPKINS - DJ set";"Thu, 09/19/2019 21:00";"1";"ET_SVN-veliki logo";"No"
